# lemma.tsv — レンマの訳語。38,568 件が母集団。
#
# 列: id \t ja \t source \t confidence \t reviewed_at
# source は manual / dict / mt のいずれか。**必須**。
# 機械翻訳と人手を混ぜたあと区別できなくなるのを防ぐための列である。
#
# **id 昇順に並べること。** darasa-morph の検証器が強制する。
#   (grep '^#' lemma.tsv; grep -v '^#' lemma.tsv | LC_ALL=C sort) > t && mv t lemma.tsv
#
# 検証:
#   cd ../darasa-morph && make build-kb
آب-u_1	戻る	mt	0.70	
آباء_1	父祖、先祖	mt	0.80	
آباد_2	永遠	mt	0.70	
آتِي_1	来たる、次の	mt	0.80	
آثار_1	遺跡、遺物、痕跡	mt	0.80	
آخَر_1	他の、別の、最新の	manual	0.60	2026-08-11
آخِر_1	最後、終わり	mt	0.80	
آفَة_1	害悪、病害	manual	0.80	2026-08-14
آل-u_1	（結果に）至る、帰する	mt	0.70	
آلَة_1	機械、器具	mt	0.70	
آلَم_2	より痛ましい	mt	0.60	
آلِيّ_1	機械の、自動の	mt	0.80	
آن_1	時、瞬間	manual	0.80	2026-08-12
أَ_1	〜ですか？ (Yes/No)	manual	1.0	2026-08-09
أَب_1	父	manual	1.0	2026-08-09
أَبَد_1	永遠	mt	0.70	
أَبَى-a_1	拒む	mt	0.80	
أَبْدَى_1	表明する、示す	mt	0.60	
أَبْصار_1	視覚、まなざし	mt	0.70	
أَبْعَد_1	遠ざける、追放する	mt	0.50	
أَبْعَد_2	より遠い、最も遠い	mt	0.50	
أَبْناء_1	息子たち、子供たち	manual	0.80	2026-08-14
أَبْيَض_1	白	manual	1.0	2026-08-09
أَتاح_1	可能にする、提供する	mt	0.60	
أَتَى-i_1	来る、到来する	manual	0.70	2026-08-12
أَتْباع_1	追随者、信奉者	mt	0.80	
أَثاث_1	家具	manual	0.80	2026-08-19
أَثار_1	引き起こす、かき立てる	manual	0.60	2026-08-14
أَثَر_1	影響、跡	mt	0.80	
أَثَرِيّ_1	考古学の、遺跡の	mt	0.80	
أَثَّر_1	影響を与える	mt	0.80	
أَثْبَت_1	証明する、立証する	mt	0.50	
أَثْبَت_2	より確かな	mt	0.50	
أَثْناء_2	〜の間に、最中	manual	0.80	2026-08-19
أَثْنَى_1	称賛する	mt	0.60	
أَثْيُوبِيّ_1	エチオピアの	mt	1.00	
أَجاب_1	答える	mt	0.70	
أَجاد_1	上手にこなす	mt	0.70	
أَجَنْدَة_1	議題、予定表	mt	0.80	
أَجْبَر_1	強いる	mt	0.60	
أَجْر_2	報酬	mt	0.80	
أَجْرَى_1	実施する、行う	manual	0.60	2026-08-14
أَجْل_1	〜のために	manual	0.80	2026-08-12
أَجْمَل_2	より美しい、最も美しい	mt	0.80	
أَجْنَبِيّ_1	外国の	manual	1.00	2026-08-12
أَحاط_1	囲む	mt	0.60	
أَحال_1	送致する、委ねる	mt	0.60	
أَحَبّ_1	愛する、好む	mt	0.80	
أَحَد_1	一人、誰か	manual	0.80	2026-08-11
أَحْدَث_2	より新しい、最新の	mt	0.70	
أَحْرَز_1	獲得する、（得点を）挙げる	mt	0.60	
أَحْرَق_1	燃やす	mt	0.60	
أَحْسَن_1	上手に行う、善行を施す	mt	0.50	
أَحْسَن_2	より良い、最良の	mt	0.50	
أَحْصَى_1	数え上げる	mt	0.60	
أَحْمَد_2	アフマド（人名）	manual	0.40	2026-08-12
أَحْمَر_1	赤	manual	1.0	2026-08-09
أَحْيَى_1	生き返らせる、（催しを）開く	mt	0.60	
أَخ_1	兄弟	manual	1.0	2026-08-09
أَخَذ-u_1	取る、受け取る	manual	1.00	2026-08-14
أَخِير_1	最後の、最新の	manual	0.70	2026-08-12
أَخْبَر_1	知らせる、告げる	mt	0.60	
أَخْذ_1	取ること	mt	0.80	
أَخْرَج_1	追い出す、取り出す	mt	0.60	
أَخْضَر_1	緑	manual	1.0	2026-08-09
أَخْطَأ_1	誤る、間違える	mt	0.70	
أَخْطَر_2	より危険な、最も深刻な	mt	0.70	
أَخْفَى_1	隠す	mt	0.60	
أَخْلاقِيّ_1	道徳の、倫理の	mt	0.80	
أَداء_1	遂行、演技、成績	manual	0.70	2026-08-19
أَداة_1	道具、器具	mt	0.70	
أَدار_1	運営する、回す	mt	0.60	
أَدان_1	非難する、有罪とする	mt	0.60	
أَدَب_1	文学、礼儀	manual	0.80	2026-08-14
أَدَلّ_2	より明確に示す	mt	0.70	
أَدِيب_1	文人、作家	mt	0.80	
أَدّ-ui_1	降りかかる	mt	0.50	
أَدَّى_1	導く、（結果を）もたらす、遂行する	manual	0.50	2026-08-12
أَدْرَك_1	理解する、追いつく	mt	0.60	
أَدْنَى_3	最も低い、最小限の	mt	0.70	
أَذَى_1	害、危害	mt	0.70	
أَذْكار_1	ズィクル（唱名）	mt	0.90	
أَراد_1	望む、〜しようとする	manual	0.60	2026-08-12
أَرْبَع_1	四、4	manual	0.50	2026-08-14
أَرْجاء_1	各地、〜のあちこち	mt	0.70	
أَرْجَنْتِينِيّ_1	アルゼンチンの	mt	1.00	
أَرْسَل_1	送る	mt	0.60	
أَرْشِيف_1	アーカイブ、文書庫	manual	1.00	2026-08-14
أَرْض_1	地球/地面	manual	1.0	2026-08-09
أَرْضِيَّة_1	下地、素地	mt	0.80	
أَرْمَنِيّ_1	アルメニアの	mt	1.00	
أَرْوَع_1	最も素晴らしい	mt	0.80	
أَزال_1	取り除く	mt	0.60	
أَزْرَق_1	青	manual	1.0	2026-08-09
أَزْمَة_1	危機	manual	1.00	2026-08-14
